partition_set_id,partition_id,method,start_node,cycle_time,num_complete_cycles,benefit,benefit_per_minute,cost_without_plow,cost_with_plow,coverage_ratio,total_priority,unique_edges
0,4,random_walk,340,109.60589461204246,6,380193.04866532626,528.0459009240642,430654.32000000024,50461.27133467396,1.0,258.74099999999896,192
0,4,random_walk,440,109.6027737324985,6,377232.79089082294,523.9344317928096,424172.16000000027,46939.369109177336,1.0,266.2459999999999,178
0,4,random_walk,347,109.17520180824803,6,376437.0912425394,522.8292933924158,422191.44000000024,45754.34875746083,1.0,248.45199999999903,181
0,4,random_walk,53,112.67968463126556,6,375959.52762740414,522.1660105936169,429211.4400000003,53251.91237259615,1.0,237.8059999999997,207
2,4,random_walk,512,109.98635970524758,6,375794.8384971792,521.9372756905267,422686.08,46891.24150282082,1.0,280.1129999999998,179
2,4,random_walk,538,110.55968336957565,6,372880.18361456797,517.8891439091221,421789.6800000004,48909.49638543244,1.0,232.04299999999938,230
0,5,random_walk,447,112.35586633350505,6,370809.2020801697,515.0127806669024,425474.64,54665.437919830336,1.0,249.45599999999962,174
2,4,random_walk,561,108.60639060098744,6,370743.895521863,514.9220771136986,421184.8800000003,50440.984478137274,1.0,233.05249999999933,181
2,5,random_walk,357,110.46774184847534,6,370591.35590324795,514.7102165322888,423398.87999999966,52807.524096751695,1.0,246.7075000000001,173
1,4,random_walk,436,109.77735926394357,6,365730.75863457663,507.95938699246756,404064.72000000015,38333.96136542349,1.0,344.4390000000007,177
1,5,random_walk,95,109.49943636784609,6,361291.17753725377,501.79330213507467,412581.60000000015,51290.42246274638,1.0,247.33749999999924,168
2,6,chinese_postman,530,44.335905352682296,16,358273.9089040106,497.60265125557027,381239.99999999994,22966.09109598934,1.0,88.25,252
1,6,chinese_postman,150,44.335905352682296,16,358273.9007178628,497.6026398859206,381239.9999999999,22966.09928213705,1.0,88.24999999999999,252
2,6,chinese_postman,150,44.335905352682296,16,358273.9007178628,497.6026398859206,381239.9999999999,22966.09928213705,1.0,88.24999999999999,252
2,6,chinese_postman,179,44.33590535268229,16,358273.89052860177,497.6026257341691,381239.9999999999,22966.10947139813,1.0,88.24999999999999,252
1,6,chinese_postman,196,44.33590535268229,16,358273.8803606157,497.6026116119662,381239.9999999999,22966.11963938419,1.0,88.24999999999999,252
0,6,chinese_postman,196,44.33590535268229,16,358273.8803606157,497.6026116119662,381239.9999999999,22966.11963938419,1.0,88.24999999999999,252
2,6,chinese_postman,176,44.33590535268229,16,358273.86615745333,497.60259188535184,381239.9999999999,22966.133842546573,1.0,88.24999999999999,252
1,6,chinese_postman,396,44.33590535268229,16,358273.6915039304,497.6023493110144,381239.9999999999,22966.30849606953,1.0,88.24999999999999,252
0,6,chinese_postman,396,44.33590535268229,16,358273.6915039304,497.6023493110144,381239.9999999999,22966.30849606953,1.0,88.24999999999999,252
0,6,chinese_postman,396,44.33590535268229,16,358273.6915039304,497.6023493110144,381239.9999999999,22966.30849606953,1.0,88.24999999999999,252
0,6,chinese_postman,393,44.335905352682275,16,358273.3937076073,497.60193570501013,381239.99999999994,22966.60629239268,1.0,88.25,252
1,6,chinese_postman,114,44.33590535268228,16,358273.3365128611,497.6018562678626,381239.99999999994,22966.663487138892,1.0,88.25,252
0,6,chinese_postman,118,44.33590535268228,16,358273.16423096636,497.60161698745327,381239.9999999999,22966.83576903355,1.0,88.24999999999999,252
0,6,chinese_postman,728,44.335905352682275,16,358273.1349741911,497.6015763530432,381239.9999999999,22966.86502580878,1.0,88.24999999999999,252
0,6,chinese_postman,392,44.335905352682275,16,358272.95546295645,497.60132703188395,381239.99999999994,22967.044537043497,1.0,88.25,252
2,6,chinese_postman,112,44.33590535268226,16,358268.72117343714,497.5954460742183,381239.99999999994,22971.278826562782,1.0,88.25,252
2,6,chinese_postman,107,44.33590535268227,16,358268.62991447735,497.595319325663,381240.00000000006,22971.37008552273,1.0,88.25000000000001,252
